,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score,landing_rate
0,ID_1723,333519,,,3002,,,,,,,,,
1,ID_4561,333519,,,3329,,,,,,,,,
2,ID_845,333519,250.0,300.0,6942,1.0,1.0,1.0,,58.0,,,,100.0
3,ID_2567,333519,250.0,300.0,14450,9.0,7.0,4.0,,44.888888888888886,,,,77.78
4,ID_2595,333519,,,3095,,,,1.0,,,,,
5,ID_548,333519,,,4006,,,,,,,,,
6,ID_3177,333346,250.0,300.0,3571,1.0,1.0,0.0,,54.0,,,,100.0
7,ID_3497,333346,250.0,300.0,2006,2.0,1.0,0.0,2.0,59.5,,,,50.0
8,ID_4585,333519,250.0,300.0,11085,2.0,0.0,0.0,1.0,38.5,,,,0.0
9,ID_418,333519,250.0,300.0,47923,112.0,102.0,47.0,9.0,59.24,,,,91.07
10,ID_2651,333346,250.0,300.0,4025,9.0,9.0,7.0,,53.72727272727273,,,,100.0
11,ID_1542,333346,250.0,300.0,3300,4.0,2.0,1.0,,59.5,,,,50.0
12,ID_4440,333346,250.0,300.0,3574,4.0,4.0,0.0,,109.83333333333331,,,,100.0
13,ID_2479,333519,,,6173,,,,,,,,,
14,ID_3301,333519,250.0,300.0,15174,24.0,23.0,4.0,,79.4090909090909,,,,95.83
15,ID_2961,333346,250.0,300.0,2330,7.0,7.0,1.0,,59.23809523809524,,,,100.0
16,ID_582,333346,250.0,300.0,4041,3.0,2.0,0.0,13.0,35.666666666666664,,,,66.67
17,ID_3047,333346,250.0,300.0,3376,3.0,2.0,1.0,,64.0,,,,66.67
18,ID_3119,333519,250.0,300.0,3217,11.0,10.0,7.0,2.0,48.4,,,,90.91
19,ID_114,333519,250.0,300.0,291439,146.0,104.0,25.0,25.0,60.71634615384615,,,,71.23
20,ID_814,333519,250.0,300.0,4463,7.0,7.0,2.0,1.0,84.42857142857143,,,,100.0
21,ID_2255,333519,250.0,300.0,7341,2.0,0.0,0.0,,58.5,,,,0.0
22,ID_2356,333519,250.0,300.0,6565,11.0,10.0,2.0,2.0,72.25,,,,90.91
23,ID_427,333519,250.0,300.0,4494,11.0,10.0,2.0,,25.64,,,,90.91
24,ID_2047,333519,250.0,300.0,51983,73.0,62.0,36.0,6.0,63.09090909090909,,,,84.93
25,ID_871,333519,250.0,300.0,13005,12.0,10.0,3.0,,69.0,,,,83.33
26,ID_2751,333519,250.0,300.0,6411,6.0,6.0,3.0,,64.75,,,,100.0
27,ID_3962,333519,250.0,300.0,4606,3.0,3.0,2.0,,58.8,,,,100.0
28,ID_3633,333519,250.0,300.0,11666,6.0,6.0,2.0,1.0,55.25,,,,100.0
29,ID_536,333519,250.0,300.0,20697,20.0,20.0,11.0,1.0,69.28571428571429,,,,100.0
30,ID_2601,333519,250.0,300.0,2146,3.0,2.0,2.0,,45.2,,,,66.67
31,ID_4099,333519,250.0,300.0,2300,2.0,1.0,1.0,,59.0,,,,50.0
32,ID_1592,333519,250.0,300.0,2905,2.0,2.0,0.0,,59.0,,,,100.0
33,ID_4341,333519,250.0,300.0,4445,9.0,5.0,2.0,1.0,67.63636363636364,,,,55.56
34,ID_791,333346,250.0,300.0,64590,83.0,67.0,20.0,5.0,55.8125,,,,80.72
35,ID_3550,333346,250.0,300.0,4091,9.0,7.0,4.0,,70.33333333333333,,,,77.78
36,ID_2666,333346,250.0,300.0,3322,12.0,10.0,8.0,2.0,64.4375,,,,83.33
37,ID_2274,333346,250.0,300.0,5893,17.0,14.0,8.0,,35.608695652173914,,,,82.35
38,ID_2092,333346,250.0,300.0,3411,3.0,3.0,2.0,,117.66666666666669,,,,100.0
39,ID_1420,333346,250.0,300.0,4607,7.0,1.0,0.0,1.0,55.45454545454545,,,,14.29
40,ID_2542,333346,250.0,300.0,5407,2.0,1.0,0.0,2.0,62.0,,,,50.0
41,ID_190,333346,250.0,300.0,2502,3.0,2.0,2.0,,68.33333333333333,,,,66.67
42,ID_4002,333346,250.0,300.0,4255,31.0,21.0,9.0,26.0,49.0,,,,67.74
43,ID_1729,333346,250.0,300.0,17561,33.0,32.0,8.0,3.0,67.26666666666667,,,,96.97
44,ID_3145,333346,250.0,300.0,10921,19.0,17.0,11.0,19.0,69.19354838709677,,,,89.47
45,ID_2504,333346,250.0,300.0,29728,14.0,10.0,5.0,5.0,50.66666666666666,,,,71.43
46,ID_2704,333346,250.0,300.0,127854,100.0,76.0,31.0,15.0,60.9568345323741,,,,76.0
47,ID_1932,333346,250.0,300.0,3667,2.0,0.0,0.0,1.0,58.5,,,,0.0
48,ID_1288,333346,250.0,300.0,17716,30.0,24.0,12.0,1.0,57.3,,,,80.0
49,ID_4162,333519,,,2850,,,,1.0,,,,,
50,ID_3107,333519,250.0,300.0,2999,1.0,0.0,0.0,1.0,55.0,,,,0.0
51,ID_1042,333519,250.0,300.0,3394,4.0,3.0,1.0,2.0,79.0,,,,75.0
52,ID_3879,333346,250.0,300.0,6534,4.0,3.0,2.0,,57.75,,,,75.0
53,ID_2451,333346,250.0,300.0,2630,2.0,2.0,1.0,,86.5,,,,100.0
54,ID_2067,333346,,,3132,,,,,,,,,
55,ID_398,333519,250.0,300.0,5956,8.0,7.0,5.0,,64.7,,,,87.5
56,ID_1940,333519,250.0,300.0,32430,20.0,14.0,7.0,1.0,82.08823529411765,,,,70.0
57,ID_1904,333519,250.0,300.0,5910,2.0,1.0,1.0,,84.5,,,,50.0
58,ID_3309,333519,250.0,300.0,71611,50.0,42.0,13.0,6.0,47.27777777777778,,,,84.0
59,ID_465,333519,250.0,300.0,41542,23.0,18.0,7.0,1.0,60.0,,,,78.26
60,ID_3308,333519,250.0,300.0,71626,77.0,48.0,22.0,2.0,79.1086956521739,,,,62.34
61,ID_2480,333519,250.0,300.0,602691,1638.0,1440.0,543.0,66.0,63.29624753127057,,,,87.91
62,ID_4414,333346,,,2167,,,,,,,,,
63,ID_3797,333346,,,2112,,,,,,,,,
64,ID_3917,333519,,,3838,,,,,,,,,
65,ID_2646,333519,250.0,300.0,3007,4.0,4.0,1.0,,58.5,,,,100.0
66,ID_1663,333346,250.0,300.0,623570,1555.0,1299.0,703.0,39.0,75.54490690032858,,,,83.54
67,ID_3647,333519,,,2137,,,,,,,,,
68,ID_3996,333519,,,2693,,,,,,,,,
